Day of Year (dec)	Total Rate[Hz]	M1 Total Rate[Hz]	M1-Vertical Rate[Hz]	M1-Inclined[Hz]
319.912118060000	135.328	65.268	35.602	29.667	
319.919062500000	136.460	65.498	35.958	29.540	
319.926006940000	135.922	64.703	35.542	29.162	
319.932951390000	135.927	65.293	35.652	29.642	
319.939895830000	135.155	64.988	35.795	29.193	
319.946840280000	135.507	65.357	35.732	29.625	
319.953784720000	135.598	65.938	36.220	29.718	
319.960729170000	136.072	65.648	35.838	29.810	
319.967673610000	135.618	65.315	35.955	29.360	
319.974618060000	135.838	65.318	35.893	29.425	
319.981562500000	135.740	65.375	35.545	29.830	
319.988506940000	134.518	65.140	35.407	29.733	
319.995451390000	134.062	64.990	35.587	29.403	
320.002395830000	88.765	43.208	23.672	19.537	
320.009340280000	135.187	65.592	35.815	29.777	
320.016284720000	135.242	65.673	35.793	29.880	
320.023229170000	136.148	66.168	36.445	29.723	
320.030173610000	135.573	65.230	35.575	29.655	
320.037118060000	134.267	65.397	35.840	29.557	
320.044062500000	134.128	65.492	35.912	29.580	
320.051006940000	135.603	66.475	36.267	30.208	
320.057951390000	135.123	65.482	35.578	29.903	
320.064895830000	134.590	65.453	35.923	29.530	
320.071840280000	134.667	66.237	36.032	30.205	
320.078784720000	135.023	66.090	35.945	30.145	
320.085729170000	134.835	66.172	36.048	30.123	
320.092673610000	134.127	65.630	35.852	29.778	
320.099618060000	134.155	66.532	36.145	30.387	
320.106562500000	134.088	66.642	36.070	30.572	
320.113506940000	134.385	66.803	36.520	30.283	
320.120451390000	133.955	66.200	36.065	30.135	
320.127395830000	88.732	43.667	23.757	19.910	
320.134340280000	135.185	66.630	36.475	30.155	
320.141284720000	135.430	66.598	36.115	30.483	
320.148229170000	134.255	66.437	36.260	30.177	
320.155173610000	135.010	66.285	36.200	30.085	
320.162118060000	134.950	66.777	36.388	30.388	
320.169062500000	134.840	66.543	36.027	30.517	
320.176006940000	134.525	66.538	36.223	30.315	
320.182951390000	134.905	67.100	36.373	30.727	
320.189895830000	134.482	66.733	36.290	30.443	
320.196840280000	134.837	67.285	36.465	30.820	
320.203784720000	134.082	66.367	36.172	30.195	
320.210729170000	134.618	66.388	36.200	30.188	
320.217673610000	133.572	66.722	36.308	30.413	
320.224618060000	134.550	66.682	36.367	30.315	
320.231562500000	134.670	66.708	36.467	30.242	
320.238506940000	135.170	66.752	36.263	30.488	
320.245451390000	135.182	66.475	36.132	30.343	
320.252395830000	89.842	44.313	23.960	20.353	
320.259340280000	134.518	66.772	36.383	30.388	
320.266284720000	134.818	66.843	36.285	30.558	
320.273229170000	134.857	66.762	36.432	30.330	
320.280173610000	134.172	67.090	36.223	30.867	
320.287118060000	134.258	66.172	36.178	29.993	
320.294062500000	133.978	66.683	36.393	30.290	
320.301006940000	134.483	67.362	36.267	31.095	
320.307951390000	134.417	66.933	36.395	30.538	
320.314895830000	134.347	66.722	36.007	30.715	
320.321840280000	135.648	65.855	35.585	30.270	
320.328784720000	134.897	67.147	36.453	30.693	
320.335729170000	134.753	67.197	36.247	30.950	
320.342673610000	135.142	66.597	36.155	30.442	
320.349618060000	134.982	67.628	36.862	30.767	
320.356562500000	135.828	67.453	36.720	30.733	
320.363506940000	134.517	66.882	36.348	30.533	
320.370451390000	135.370	66.730	36.393	30.337	
320.377395830000	89.778	44.773	24.555	20.218	
320.384340280000	134.330	66.503	36.352	30.152	
320.391284720000	134.790	66.777	36.338	30.438	
320.398229170000	134.940	67.063	36.247	30.817	
320.405173610000	135.942	67.140	36.552	30.588	
320.412118060000	134.647	66.523	36.435	30.088	
320.419062500000	134.520	65.947	35.958	29.988	
320.426006940000	135.275	65.933	35.737	30.197	
320.432951390000	135.075	66.805	36.098	30.707	
320.439895830000	134.867	67.150	36.657	30.493	
320.446840280000	134.812	67.145	36.532	30.613	
320.453784720000	135.775	66.993	36.503	30.490	
320.460729170000	134.692	65.968	35.807	30.162	
320.467673610000	135.328	67.010	36.498	30.512	
320.474618060000	135.060	66.932	36.502	30.430	
320.481562500000	134.873	66.612	36.450	30.162	
320.488506940000	134.142	66.915	36.347	30.568	
320.495451390000	133.748	66.193	35.963	30.230	
320.502418980000	88.663	43.894	23.681	20.213	
320.509363430000	134.338	67.020	36.423	30.597	
320.516307870000	134.167	67.337	36.662	30.675	
320.523252310000	134.803	67.548	36.895	30.653	
320.530196760000	133.000	67.205	36.387	30.818	
320.537141200000	134.417	68.037	36.793	31.243	
320.544085650000	133.553	67.355	36.170	31.185	
320.551030090000	134.862	67.195	36.527	30.668	
320.557974540000	134.420	67.243	36.262	30.982	
320.564918980000	133.782	67.350	36.610	30.740	
320.571863430000	133.220	67.377	36.313	31.063	
320.578807870000	134.142	67.672	36.577	31.095	
320.585752310000	134.365	67.413	36.242	31.172	
320.592696760000	134.093	66.928	36.370	30.558	
320.599641200000	133.777	66.587	35.890	30.697	
320.606585650000	133.513	66.913	36.555	30.358	
320.613530090000	133.418	67.435	36.383	31.052	
320.620474540000	134.863	67.512	36.482	31.030	
320.627418980000	88.523	44.763	24.427	20.337	
320.634363430000	134.618	67.053	36.475	30.578	
320.641307870000	133.803	67.643	36.588	31.055	
320.648252310000	133.537	68.050	36.943	31.107	
320.655196760000	134.617	67.562	36.840	30.722	
320.662141200000	135.143	67.472	36.827	30.645	
320.669085650000	135.248	67.270	36.638	30.632	
320.676030090000	134.808	66.753	36.128	30.625	
320.682974540000	133.723	67.227	36.545	30.682	
320.689918980000	134.142	67.702	36.930	30.772	
320.696863430000	134.807	66.945	36.360	30.585	
320.703807870000	133.630	67.327	36.662	30.665	
320.710752310000	134.165	67.895	36.980	30.915	
320.717696760000	134.607	67.405	36.637	30.768	
320.724641200000	135.025	68.303	36.862	31.442	
320.731585650000	133.643	67.730	36.755	30.975	
320.738530090000	133.895	68.138	36.753	31.385	
320.745474540000	133.622	67.205	36.673	30.532	
320.752418980000	88.640	44.017	23.735	20.282	
320.759363430000	133.555	67.695	36.720	30.975	
320.766307870000	134.900	67.207	36.452	30.755	
320.773252310000	135.147	67.288	36.482	30.807	
320.780196760000	133.752	67.398	36.380	31.018	
320.787141200000	134.843	67.628	36.707	30.922	
320.794085650000	134.342	67.617	36.917	30.700	
320.801030090000	133.183	67.687	36.513	31.173	
320.807974540000	134.685	67.923	36.887	31.037	
320.814918980000	134.158	66.873	36.402	30.472	
320.821863430000	134.277	66.877	35.995	30.882	
320.828807870000	135.412	67.365	36.307	31.058	
320.835752310000	135.327	67.567	36.585	30.982	
320.842696760000	134.163	67.338	36.712	30.627	
320.849641200000	133.558	68.347	36.558	31.788	
320.856585650000	132.617	68.185	36.605	31.580	
320.863530090000	133.505	68.282	36.772	31.510	
320.870474540000	133.057	67.890	36.817	31.073	
320.877418980000	87.535	44.388	23.863	20.525	
320.884363430000	133.815	68.145	36.977	31.168	
320.891307870000	132.723	68.503	36.885	31.618	
320.898252310000	132.068	68.608	37.033	31.575	
320.905196760000	131.417	68.490	37.048	31.442	
320.912141200000	132.333	68.007	36.620	31.387	
320.919085650000	133.418	68.200	36.650	31.550	
320.926030090000	132.035	68.518	36.552	31.967	
320.932974540000	132.150	68.277	36.407	31.870	
320.939918980000	132.232	68.483	37.168	31.315	
320.946863430000	132.040	68.532	36.920	31.612	
320.953807870000	132.083	68.153	36.690	31.463	
320.960752310000	133.292	68.550	36.940	31.610	
320.967696760000	133.390	68.752	37.040	31.712	
320.974641200000	131.405	68.600	37.037	31.563	
320.981585650000	131.472	68.183	36.558	31.625	
320.988530090000	133.620	68.275	36.598	31.677	
320.995474540000	133.695	68.730	37.217	31.513	
321.002418980000	86.852	44.692	24.000	20.692	
321.009363430000	133.500	68.495	36.882	31.613	
321.016307870000	131.842	67.832	36.455	31.377	
321.023252310000	132.523	68.605	36.873	31.732	
321.030196760000	133.405	68.340	36.917	31.423	
321.037141200000	132.495	68.000	36.625	31.375	
321.044085650000	132.795	68.780	36.910	31.870	
321.051030090000	132.555	67.908	36.705	31.203	
321.057974540000	132.857	68.263	36.750	31.513	
321.064918980000	132.638	68.578	36.880	31.698	
321.071863430000	133.150	68.272	36.900	31.372	
321.078807870000	131.247	67.932	36.555	31.377	
321.085752310000	132.192	68.327	36.872	31.455	
321.092696760000	131.693	67.595	36.548	31.047	
321.099641200000	132.053	68.392	36.945	31.447	
321.106585650000	132.357	68.755	37.155	31.600	
321.113530090000	131.767	67.488	36.115	31.373	
321.120474540000	132.723	68.278	36.827	31.452	
321.127418980000	87.648	44.800	24.178	20.622	
321.134363430000	131.988	67.373	36.292	31.082	
321.141307870000	132.245	67.990	36.540	31.450	
321.148252310000	132.418	68.842	37.158	31.683	
321.155196760000	132.558	67.868	36.642	31.227	
321.162141200000	132.600	68.507	36.878	31.628	
321.169085650000	132.677	68.047	36.972	31.075	
321.176030090000	131.282	68.365	36.793	31.572	
321.182974540000	132.010	68.003	36.682	31.322	
321.189918980000	132.648	68.115	36.743	31.372	
321.196863430000	133.420	68.453	36.887	31.567	
321.203807870000	132.343	67.850	36.582	31.268	
321.210752310000	132.403	67.858	36.582	31.277	
321.217696760000	132.407	68.103	36.562	31.542	
321.224641200000	132.097	67.745	36.635	31.110	
321.231585650000	131.982	67.495	36.527	30.968	
321.238530090000	132.510	67.900	36.837	31.063	
321.245474540000	131.938	67.430	36.395	31.035	
321.252418980000	87.533	44.792	24.135	20.657	
321.259363430000	132.450	67.900	36.465	31.435	
321.266307870000	132.835	66.958	36.012	30.947	
321.273252310000	133.223	67.585	36.465	31.120	
321.280196760000	132.317	68.112	36.852	31.260	
321.287141200000	133.010	67.587	36.760	30.827	
321.294085650000	132.712	66.945	36.377	30.568	
321.301030090000	133.378	67.325	36.255	31.070	
321.307974540000	133.538	66.837	36.098	30.738	
321.314918980000	132.625	67.147	36.415	30.732	
