Day of Year (dec)	Total Rate[Hz]	M1 Total Rate[Hz]	M1-Vertical Rate[Hz]	M1-Inclined[Hz]
323.002418980000	84.622	40.032	22.088	17.943	
323.009363430000	128.003	60.853	33.123	27.730	
323.016307870000	128.205	60.695	33.140	27.555	
323.023252310000	128.185	60.955	33.827	27.128	
323.030196760000	128.815	61.262	33.365	27.897	
323.037141200000	127.502	60.867	33.648	27.218	
323.044085650000	127.528	61.192	33.708	27.483	
323.051030090000	127.988	61.072	33.585	27.487	
323.057974540000	128.043	61.070	33.535	27.535	
323.064918980000	128.483	61.375	33.925	27.450	
323.071863430000	128.060	61.033	33.165	27.868	
323.078807870000	128.598	61.118	33.305	27.813	
323.085752310000	128.888	61.588	33.987	27.602	
323.092696760000	127.465	60.537	32.777	27.760	
323.099641200000	128.660	61.338	33.490	27.848	
323.106585650000	128.775	61.313	33.717	27.597	
323.113530090000	128.525	61.403	33.867	27.537	
323.120474540000	127.835	60.802	33.265	27.537	
323.127418980000	84.465	39.922	22.098	17.823	
323.134363430000	128.485	60.882	33.048	27.833	
323.141307870000	127.698	60.382	32.932	27.450	
323.148252310000	127.993	60.665	33.197	27.468	
323.155196760000	128.562	61.022	33.155	27.867	
323.162141200000	128.122	60.843	33.493	27.350	
323.169085650000	127.925	61.032	33.513	27.518	
323.176030090000	127.813	61.338	33.607	27.732	
323.182974540000	128.003	60.797	33.235	27.562	
323.189918980000	128.052	60.717	33.428	27.288	
323.196863430000	128.457	61.077	33.365	27.712	
323.203807870000	127.868	61.083	33.287	27.797	
323.210752310000	128.078	60.690	33.218	27.472	
323.217696760000	127.555	60.632	33.257	27.375	
323.224641200000	128.552	61.277	33.263	28.013	
323.231585650000	128.035	60.583	33.417	27.167	
323.238530090000	127.195	60.477	33.267	27.210	
323.245474540000	128.552	61.105	33.670	27.435	
323.252418980000	84.070	40.015	21.978	18.037	
323.259363430000	127.315	60.928	33.063	27.865	
323.266307870000	127.512	60.812	33.212	27.600	
323.273252310000	127.263	60.892	32.977	27.915	
323.280196760000	127.310	61.035	33.458	27.577	
323.287141200000	127.488	60.177	32.827	27.350	
323.294085650000	127.445	60.282	33.160	27.122	
323.301030090000	127.907	60.505	33.205	27.300	
323.307974540000	127.963	60.567	33.192	27.375	
323.314918980000	127.632	60.485	33.460	27.025	
323.321863430000	126.802	61.090	33.427	27.663	
323.328807870000	126.638	60.352	33.125	27.227	
323.335752310000	127.082	60.512	33.440	27.072	
323.342696760000	127.553	60.657	33.080	27.577	
323.349641200000	127.658	60.758	33.270	27.488	
323.356585650000	127.587	60.755	33.578	27.177	
323.363530090000	127.365	60.835	33.082	27.753	
323.370474540000	127.953	61.177	33.520	27.657	
323.377465280000	82.838	39.366	21.530	17.836	
323.384409720000	127.232	60.937	33.342	27.595	
323.391354170000	127.558	60.827	33.165	27.662	
323.398298610000	126.673	60.142	32.842	27.300	
323.405243060000	127.305	60.543	33.038	27.505	
323.412187500000	126.862	60.560	33.212	27.348	
323.419131940000	126.005	59.980	32.958	27.022	
323.426076390000	127.450	59.575	32.923	26.652	
323.433020830000	126.320	60.230	32.920	27.310	
323.439965280000	126.427	60.270	32.965	27.305	
323.446909720000	126.688	60.413	32.773	27.640	
323.453854170000	126.887	59.615	32.653	26.962	
323.460798610000	126.852	59.345	32.738	26.607	
323.467743060000	126.655	59.543	32.730	26.813	
323.474687500000	127.495	60.895	33.453	27.442	
323.481631940000	126.208	59.862	32.868	26.993	
323.488576390000	126.543	59.870	32.583	27.287	
323.495520830000	126.883	60.015	32.813	27.202	
323.502465280000	83.098	39.470	21.450	18.020	
323.509409720000	127.392	59.782	32.642	27.140	
323.516354170000	127.502	59.933	32.822	27.112	
323.523298610000	126.717	59.733	32.865	26.868	
323.530243060000	127.423	60.070	32.800	27.270	
323.537187500000	126.752	60.630	33.217	27.413	
323.544131940000	126.803	60.240	32.895	27.345	
323.551076390000	127.165	59.473	32.563	26.910	
323.558020830000	127.480	59.300	32.710	26.590	
323.564965280000	127.313	59.058	32.277	26.782	
323.571909720000	126.250	59.957	32.660	27.297	
323.578854170000	126.717	60.185	32.977	27.208	
323.585798610000	125.838	59.458	32.437	27.022	
323.592743060000	127.222	60.398	33.013	27.385	
323.599687500000	126.960	61.022	33.160	27.862	
323.606631940000	126.095	60.510	32.758	27.752	
323.613576390000	126.308	59.542	32.562	26.980	
323.620520830000	127.007	60.207	32.948	27.258	
323.627465280000	82.885	39.043	21.457	17.587	
323.634409720000	127.930	60.277	32.723	27.553	
323.641354170000	126.443	59.660	32.743	26.917	
323.648298610000	126.695	59.547	32.615	26.932	
323.655243060000	126.548	60.028	32.852	27.177	
323.662187500000	126.817	60.022	33.135	26.887	
323.669131940000	126.140	59.817	32.753	27.063	
323.676076390000	126.455	59.362	32.708	26.653	
323.683020830000	126.167	59.703	32.848	26.855	
323.689965280000	126.175	59.732	32.803	26.928	
323.696909720000	125.707	59.720	32.873	26.847	
323.703854170000	126.735	60.292	32.785	27.507	
323.710798610000	125.997	59.847	32.775	27.072	
323.717743060000	126.197	59.790	32.770	27.020	
323.724687500000	126.127	60.143	32.972	27.172	
323.731631940000	126.265	60.080	32.915	27.165	
323.738576390000	126.552	59.838	32.860	26.978	
323.745520830000	126.647	59.540	32.610	26.930	
323.752465280000	83.410	39.630	21.952	17.678	
323.759409720000	126.328	59.518	32.402	27.117	
323.766354170000	126.308	59.762	32.953	26.808	
323.773298610000	125.435	59.413	32.650	26.763	
323.780243060000	125.477	59.755	32.850	26.905	
323.787187500000	125.820	59.523	32.405	27.118	
323.794131940000	126.447	59.860	32.777	27.083	
323.801076390000	126.078	59.948	32.742	27.207	
323.808020830000	125.700	59.910	32.730	27.180	
323.814965280000	125.380	59.745	32.553	27.192	
323.821909720000	124.970	59.367	32.128	27.238	
323.828854170000	125.245	59.150	32.622	26.528	
323.835798610000	125.938	59.238	32.542	26.697	
323.842743060000	125.913	59.403	32.427	26.977	
323.849687500000	126.307	59.790	32.928	26.862	
323.856631940000	126.078	59.115	32.425	26.690	
323.863576390000	125.638	59.097	32.352	26.745	
323.870520830000	126.202	59.565	32.550	27.015	
323.877465280000	83.188	39.287	21.495	17.792	
323.884409720000	126.378	59.378	32.532	26.847	
323.891354170000	125.658	59.492	32.593	26.898	
323.898298610000	125.512	59.340	32.467	26.873	
323.905243060000	125.118	59.525	32.923	26.602	
323.912187500000	125.830	59.313	32.502	26.812	
323.919131940000	125.748	59.253	32.288	26.965	
323.926076390000	125.018	59.213	32.675	26.538	
323.933020830000	125.148	59.593	32.657	26.937	
323.939965280000	125.477	59.658	32.793	26.865	
323.946909720000	125.208	59.605	32.678	26.927	
323.953854170000	126.298	59.325	32.230	27.095	
323.960798610000	126.187	58.942	32.315	26.627	
323.967743060000	125.967	59.313	32.498	26.815	
323.974687500000	126.078	59.860	32.842	27.018	
323.981631940000	124.875	59.483	32.433	27.050	
323.988576390000	125.172	59.803	32.702	27.102	
323.995520830000	125.730	59.270	32.530	26.740	
324.002465280000	82.697	38.782	21.097	17.685	
324.009409720000	125.818	59.000	32.420	26.580	
324.016354170000	125.668	59.687	32.718	26.968	
324.023298610000	124.382	59.432	32.342	27.090	
324.030243060000	125.887	59.702	32.815	26.887	
324.037187500000	125.048	59.295	32.228	27.067	
324.044131940000	125.778	59.662	32.645	27.017	
324.051076390000	126.232	58.772	32.287	26.485	
324.058020830000	126.190	58.888	32.118	26.770	
324.064965280000	125.800	58.927	32.292	26.635	
324.071909720000	125.970	59.535	32.818	26.717	
324.078854170000	125.847	58.823	32.093	26.730	
324.085798610000	125.043	59.248	32.532	26.717	
324.092743060000	125.108	58.738	32.317	26.422	
324.099687500000	124.417	59.177	32.280	26.897	
324.106631940000	124.958	59.355	32.378	26.977	
324.113576390000	125.298	59.373	32.598	26.775	
324.120520830000	125.185	59.562	32.657	26.905	
324.127465280000	82.085	39.055	21.308	17.747	
324.134409720000	124.725	59.387	32.237	27.150	
324.141354170000	125.288	59.638	32.580	27.058	
324.148298610000	125.607	59.723	32.647	27.077	
324.155243060000	125.612	59.848	32.505	27.343	
324.162187500000	126.195	59.830	32.733	27.097	
324.169131940000	124.737	59.142	32.108	27.033	
324.176076390000	124.932	59.533	32.590	26.943	
324.183020830000	125.473	59.557	32.665	26.892	
324.189965280000	124.902	59.173	32.502	26.672	
324.196909720000	125.543	59.370	32.272	27.098	
324.203854170000	125.373	59.138	32.215	26.923	
324.210798610000	124.828	58.740	32.440	26.300	
324.217743060000	125.932	59.355	32.568	26.787	
324.224687500000	125.020	59.417	32.347	27.070	
324.231631940000	125.053	59.308	32.567	26.742	
324.238576390000	125.633	59.587	32.847	26.740	
324.245520830000	125.343	59.488	32.668	26.820	
324.252465280000	80.978	38.167	20.603	17.563	
324.259409720000	125.780	59.380	32.400	26.980	
324.266354170000	125.550	59.512	32.482	27.030	
324.273298610000	125.663	59.750	32.825	26.925	
324.280243060000	124.543	58.942	32.172	26.770	
324.287187500000	125.267	59.280	32.352	26.928	
324.294131940000	125.925	60.095	32.878	27.217	
324.301076390000	126.117	60.408	32.980	27.428	
324.308020830000	124.733	59.118	32.225	26.893	
324.314965280000	124.863	59.195	32.507	26.688	
324.321909720000	124.658	59.538	32.245	27.293	
324.328854170000	124.995	59.532	32.590	26.942	
324.335798610000	124.882	59.578	32.757	26.822	
324.342743060000	125.213	59.897	32.800	27.097	
324.349687500000	125.432	59.397	32.723	26.673	
324.356631940000	124.882	59.032	32.358	26.673	
324.363576390000	125.053	59.103	31.967	27.137	
324.370520830000	125.397	58.303	31.707	26.597	
324.377465280000	81.923	38.313	21.120	17.193	
324.384409720000	125.412	58.572	32.125	26.447	
324.391354170000	124.870	59.565	32.353	27.212	
324.398298610000	124.828	58.878	32.083	26.795	
324.405243060000	125.445	59.935	32.548	27.387	
324.412187500000	124.887	59.318	32.488	26.830	
324.419131940000	125.347	59.328	32.373	26.955	
324.426076390000	124.510	59.338	32.308	27.030	
324.433020830000	125.267	58.613	32.290	26.323	
324.439965280000	125.318	58.445	31.968	26.477	
324.446909720000	124.982	59.242	32.443	26.798	
324.453854170000	125.223	59.157	32.083	27.073	
324.460798610000	124.513	59.062	32.463	26.598	
324.467743060000	125.778	58.900	32.303	26.597	
324.474687500000	124.823	58.732	32.038	26.693	
324.481631940000	125.773	59.977	32.848	27.128	
324.488576390000	124.558	58.943	32.072	26.872	
324.495520830000	125.347	59.075	32.188	26.887	
324.502465280000	83.023	39.107	21.553	17.553	
324.509409720000	124.592	59.235	32.363	26.872	
324.516354170000	124.012	58.993	32.553	26.440	
324.523298610000	124.817	59.135	32.645	26.490	
324.530243060000	124.107	59.425	32.153	27.272	
324.537187500000	124.542	58.658	31.948	26.710	
324.544131940000	125.760	59.522	32.488	27.033	
324.551076390000	124.057	59.123	32.397	26.727	
324.558020830000	124.787	59.390	32.497	26.893	
324.564965280000	124.347	58.617	31.777	26.840	
324.571909720000	125.392	59.160	32.295	26.865	
324.578854170000	125.177	59.025	32.310	26.715	
324.585798610000	125.700	59.620	32.595	27.025	
324.592743060000	124.495	58.792	32.237	26.555	
324.599687500000	126.368	59.633	32.957	26.677	
324.606631940000	126.062	59.448	32.558	26.890	
324.613576390000	125.037	58.655	31.912	26.743	
324.620520830000	125.743	59.678	32.520	27.158	
324.627465280000	83.287	39.248	21.460	17.788	
324.634409720000	125.600	59.925	32.820	27.105	
324.641354170000	125.058	59.537	32.530	27.007	
324.648298610000	125.435	59.422	32.645	26.777	
324.655243060000	125.252	59.263	32.408	26.855	
324.662187500000	125.930	59.788	33.018	26.770	
324.669131940000	124.967	58.898	32.428	26.470	
324.676076390000	125.717	59.360	32.417	26.943	
324.683020830000	125.342	59.438	32.303	27.135	
324.689965280000	125.358	59.428	32.493	26.935	
324.696909720000	125.897	59.897	32.882	27.015	
324.703854170000	126.098	59.627	32.378	27.248	
324.710798610000	125.847	59.578	32.548	27.030	
324.717743060000	125.518	59.213	32.602	26.612	
324.724687500000	125.355	59.605	32.688	26.917	
324.731631940000	125.998	59.553	32.712	26.842	
324.738576390000	124.625	59.267	32.505	26.762	
324.745520830000	123.953	58.372	32.032	26.340	
324.752465280000	82.887	39.187	21.473	17.713	
324.759409720000	124.417	59.315	32.445	26.870	
324.766354170000	125.010	58.902	32.170	26.732	
324.773298610000	124.945	59.133	32.080	27.053	
324.780243060000	126.248	58.542	32.145	26.397	
324.787187500000	124.292	58.763	31.858	26.905	
324.794131940000	123.378	58.132	31.745	26.387	
324.801076390000	124.935	59.285	32.398	26.887	
324.808020830000	124.028	58.797	32.100	26.697	
324.814965280000	123.977	58.702	31.990	26.712	
324.821909720000	124.860	59.242	32.262	26.980	
324.828854170000	123.735	58.790	32.007	26.783	
324.835798610000	123.568	58.692	32.428	26.263	
324.842743060000	124.388	58.258	32.078	26.180	
324.849687500000	124.638	58.673	32.255	26.418	
324.856631940000	123.783	58.022	31.958	26.063	
324.863576390000	123.867	58.453	32.238	26.215	
324.870520830000	124.128	58.513	31.977	26.537	
324.877465280000	81.168	38.258	20.737	17.522	
324.884409720000	123.923	58.988	32.335	26.653	
324.891354170000	124.388	58.657	32.125	26.532	
324.898298610000	124.687	58.757	31.988	26.768	
324.905243060000	124.397	58.365	31.873	26.492	
324.912187500000	124.687	59.040	32.367	26.673	
324.919131940000	124.955	58.365	32.063	26.302	
324.926076390000	124.050	58.570	31.938	26.632	
324.933020830000	124.158	58.372	31.883	26.488	
324.939965280000	123.513	58.178	31.823	26.355	
324.946909720000	123.457	58.633	32.125	26.508	
324.953854170000	124.148	58.178	31.922	26.257	
324.960798610000	124.257	58.658	31.658	27.000	
324.967743060000	123.567	58.307	32.022	26.285	
324.974687500000	123.515	58.670	31.867	26.803	
324.981631940000	123.928	58.388	32.102	26.287	
324.988576390000	123.535	58.552	32.062	26.490	
324.995520830000	123.527	58.900	32.273	26.627	
325.002465280000	81.448	38.245	20.632	17.613	
325.009409720000	124.107	58.352	31.810	26.542	
325.016354170000	123.977	58.425	31.912	26.513	
325.023298610000	124.692	58.562	32.118	26.443	
325.030243060000	123.992	58.535	32.115	26.420	
325.037187500000	124.430	58.782	32.092	26.690	
325.044131940000	123.873	58.212	31.955	26.257	
325.051076390000	123.860	57.960	31.335	26.625	
325.058020830000	124.182	58.188	32.037	26.152	
325.064965280000	124.137	58.323	32.025	26.298	
325.071909720000	123.918	58.383	31.918	26.465	
325.078854170000	124.662	58.937	32.310	26.627	
325.085798610000	124.477	58.538	32.085	26.453	
325.092743060000	123.507	57.673	31.335	26.338	
325.099687500000	123.907	58.042	32.155	25.887	
325.106631940000	123.932	58.465	32.085	26.380	
325.113576390000	123.915	58.210	32.023	26.187	
325.120520830000	124.487	58.428	32.168	26.260	
325.127465280000	82.380	38.523	21.215	17.308	
325.134409720000	124.407	58.418	31.998	26.420	
325.141354170000	124.372	58.562	31.918	26.643	
325.148298610000	124.315	58.493	31.927	26.567	
325.155243060000	123.830	58.637	32.075	26.562	
325.162187500000	123.923	58.992	32.123	26.868	
325.169131940000	123.577	58.820	32.158	26.662	
325.176076390000	125.520	58.907	32.032	26.875	
325.183020830000	123.888	58.160	32.250	25.910	
325.189965280000	124.517	58.518	32.147	26.372	
325.196909720000	124.437	57.693	31.492	26.202	
325.203854170000	123.977	58.288	31.767	26.522	
325.210798610000	124.522	59.018	32.387	26.632	
325.217743060000	123.145	57.753	31.695	26.058	
325.224687500000	125.258	59.142	32.407	26.735	
325.231631940000	124.063	58.555	31.698	26.857	
325.238576390000	124.683	58.820	32.130	26.690	
325.245520830000	123.518	58.250	31.830	26.420	
325.252465280000	82.027	38.690	21.023	17.667	
325.259409720000	123.868	58.892	32.227	26.665	
325.266354170000	124.373	58.938	32.358	26.580	
325.273298610000	124.490	59.040	32.452	26.588	
325.280243060000	124.553	58.942	32.185	26.757	
325.287187500000	123.535	58.767	32.297	26.470	
325.294131940000	124.505	59.357	32.578	26.778	
325.301076390000	123.880	59.035	32.290	26.745	
325.308020830000	124.293	58.302	32.193	26.108	
325.314965280000	124.278	58.195	31.705	26.490	
325.321909720000	123.680	58.503	32.007	26.497	
325.328854170000	123.812	58.260	31.713	26.547	
325.335798610000	123.920	57.912	31.472	26.440	
325.342743060000	124.117	58.417	31.927	26.490	
325.349687500000	124.555	58.732	32.470	26.262	
325.356631940000	124.125	58.625	32.205	26.420	
325.363576390000	123.942	58.840	32.230	26.610	
325.370520830000	123.887	58.565	32.257	26.308	
325.377465280000	81.370	38.423	21.055	17.368	
325.384409720000	123.987	58.237	31.713	26.523	
325.391354170000	123.813	59.013	32.080	26.933	
325.398298610000	123.722	58.887	32.043	26.843	
325.405243060000	123.478	58.802	31.963	26.838	
325.412187500000	123.477	57.353	31.452	25.902	
325.419131940000	124.683	58.132	31.712	26.420	
325.426076390000	123.935	58.505	32.080	26.425	
325.433020830000	123.695	58.007	31.950	26.057	
325.439965280000	124.045	58.535	31.808	26.727	
325.446909720000	123.895	58.352	31.845	26.507	
325.453854170000	123.955	57.925	31.993	25.932	
325.460798610000	124.200	57.623	31.905	25.718	
325.467743060000	124.885	58.148	31.752	26.397	
325.474687500000	124.338	57.760	31.433	26.327	
325.481631940000	123.445	58.187	31.900	26.287	
325.488576390000	124.520	57.967	32.058	25.908	
325.495520830000	123.283	57.630	31.472	26.158	
325.502465280000	81.253	38.525	21.007	17.518	
325.509409720000	122.093	58.445	32.080	26.365	
325.516354170000	123.208	58.660	31.765	26.895	
325.523298610000	122.660	58.263	32.032	26.232	
325.530243060000	123.228	57.960	31.915	26.045	
325.537187500000	123.158	58.315	31.978	26.337	
325.544131940000	123.873	58.685	32.108	26.577	
325.551076390000	123.520	58.023	31.762	26.262	
325.558020830000	123.735	58.197	32.060	26.137	
325.564965280000	124.368	58.625	31.847	26.778	
325.571909720000	124.305	58.862	32.097	26.765	
325.578854170000	124.457	58.218	32.082	26.137	
325.585798610000	123.978	57.927	31.552	26.375	
325.592743060000	124.290	58.487	31.723	26.763	
325.599687500000	124.422	57.952	31.830	26.122	
325.606631940000	124.748	57.452	31.580	25.872	
325.613576390000	123.960	57.747	31.412	26.335	
325.620520830000	124.462	58.148	31.822	26.327	
325.627465280000	82.502	38.253	20.933	17.320	
325.634409720000	124.908	59.233	32.387	26.847	
325.641354170000	124.617	58.913	32.292	26.622	
325.648298610000	123.992	58.143	31.990	26.153	
325.655243060000	124.212	57.832	31.563	26.268	
325.662187500000	124.422	58.232	31.943	26.288	
325.669131940000	124.082	58.008	31.492	26.517	
325.676076390000	124.475	59.260	32.178	27.082	
325.683020830000	123.478	58.685	32.110	26.575	
325.689965280000	123.992	58.430	31.878	26.552	
325.696909720000	123.977	57.610	31.530	26.080	
325.703854170000	124.912	58.680	32.005	26.675	
325.710798610000	124.470	58.572	32.223	26.348	
325.717743060000	123.365	58.290	31.938	26.352	
325.724687500000	123.807	57.710	31.545	26.165	
325.731631940000	124.725	58.212	32.022	26.190	
325.738576390000	124.410	57.650	31.540	26.110	
325.745520830000	124.935	58.165	31.912	26.253	
325.752465280000	82.997	38.873	21.337	17.537	
325.759409720000	124.333	58.300	31.822	26.478	
325.766354170000	124.393	58.692	32.147	26.545	
325.773298610000	123.027	57.548	31.552	25.997	
325.780243060000	124.273	58.123	31.783	26.340	
325.787187500000	124.158	58.015	31.638	26.377	
325.794131940000	123.573	58.203	32.018	26.185	
325.801076390000	124.383	58.420	32.242	26.178	
325.808020830000	124.445	58.602	32.027	26.575	
325.814965280000	123.003	57.303	31.558	25.745	
325.821909720000	123.802	58.105	32.053	26.052	
325.828854170000	123.667	58.362	31.795	26.567	
325.835798610000	123.117	57.422	31.483	25.938	
325.842743060000	123.305	57.553	31.927	25.627	
325.849687500000	124.253	58.263	31.567	26.697	
325.856631940000	123.438	58.233	31.710	26.523	
325.863576390000	123.793	57.887	31.482	26.405	
325.870520830000	123.852	58.275	31.543	26.732	
325.877465280000	80.513	38.025	20.745	17.280	
325.884409720000	123.170	57.900	31.623	26.277	
325.891354170000	122.765	57.540	31.637	25.903	
325.898298610000	122.928	57.627	31.612	26.015	
325.905243060000	123.442	57.588	31.295	26.293	
325.912187500000	124.192	57.978	31.658	26.320	
325.919131940000	123.822	57.442	31.562	25.880	
325.926076390000	123.430	57.352	31.185	26.167	
325.933020830000	123.138	57.228	31.378	25.850	
325.939965280000	123.147	57.230	31.210	26.020	
325.946909720000	122.505	57.832	31.512	26.320	
325.953854170000	123.213	57.993	31.868	26.125	
325.960798610000	122.902	57.870	31.757	26.113	
325.967743060000	122.727	57.542	31.492	26.050	
325.974687500000	123.383	57.695	31.548	26.147	
325.981631940000	122.522	57.218	31.283	25.935	
325.988576390000	123.015	58.028	31.567	26.462	
325.995520830000	122.703	57.498	31.533	25.965	
326.002465280000	81.678	38.030	20.943	17.087	
326.009409720000	123.767	57.503	31.562	25.942	
326.016354170000	123.130	57.312	31.405	25.907	
326.023298610000	123.377	56.702	30.992	25.710	
326.030243060000	123.708	57.343	31.522	25.822	
326.037187500000	123.920	57.875	31.520	26.355	
326.044131940000	122.447	57.007	31.145	25.862	
326.051076390000	122.567	57.935	31.600	26.335	
326.058020830000	124.550	57.817	31.502	26.315	
326.064965280000	123.448	57.340	31.462	25.878	
326.071909720000	124.535	57.675	31.617	26.058	
326.078854170000	123.572	57.412	31.517	25.895	
326.085798610000	123.980	57.065	31.580	25.485	
326.092743060000	124.505	57.373	31.635	25.738	
326.099687500000	124.298	57.373	31.362	26.012	
326.106631940000	123.888	58.052	31.782	26.270	
326.113576390000	122.462	58.020	31.768	26.252	
326.120520830000	122.917	58.032	31.605	26.427	
326.127465280000	81.833	38.262	20.942	17.320	
326.134409720000	123.537	58.195	31.895	26.300	
326.141354170000	122.625	57.855	31.508	26.347	
326.148298610000	123.642	58.267	31.598	26.668	
326.155243060000	122.773	57.005	31.168	25.837	
326.162187500000	122.687	57.678	31.603	26.075	
326.169131940000	122.640	57.822	31.928	25.893	
326.176076390000	123.842	58.420	31.843	26.577	
326.183020830000	123.568	57.828	31.635	26.193	
326.189965280000	123.027	57.595	31.303	26.292	
326.196909720000	123.908	58.142	32.157	25.985	
326.203854170000	124.045	57.882	31.792	26.090	
326.210798610000	123.457	57.538	31.632	25.907	
326.217743060000	123.815	57.730	31.880	25.850	
326.224687500000	124.082	57.637	31.662	25.975	
326.231631940000	123.373	57.823	31.948	25.875	
326.238576390000	123.430	57.262	31.338	25.923	
326.245520830000	124.013	57.915	31.643	26.272	
326.252465280000	81.742	37.985	20.820	17.165	
326.259409720000	123.788	57.550	31.735	25.815	
326.266354170000	124.310	57.897	31.822	26.075	
326.273298610000	123.798	57.542	31.345	26.197	
326.280243060000	123.317	57.533	31.495	26.038	
326.287187500000	123.277	57.928	31.900	26.028	
326.294131940000	123.710	58.387	31.935	26.452	
326.301076390000	123.418	57.788	31.777	26.012	
326.308020830000	123.823	58.057	31.547	26.510	
326.314965280000	124.043	58.087	32.008	26.078	
326.321909720000	123.223	57.687	31.447	26.240	
326.328854170000	123.722	58.397	32.213	26.183	
326.335798610000	123.917	58.315	31.795	26.520	
326.342743060000	123.712	58.082	31.538	26.543	
326.349687500000	123.223	57.985	31.880	26.105	
326.356631940000	123.260	57.872	31.697	26.175	
326.363576390000	124.302	57.642	31.567	26.075	
326.370520830000	123.812	57.288	31.630	25.658	
326.377465280000	81.463	37.977	20.805	17.172	
326.384409720000	122.888	57.912	31.675	26.237	
326.391354170000	122.787	57.748	31.633	26.115	
326.398298610000	122.475	57.465	31.573	25.892	
326.405243060000	123.442	57.507	31.495	26.012	
326.412187500000	122.812	57.067	31.288	25.778	
326.419131940000	123.822	57.690	31.493	26.197	
326.426076390000	123.567	58.002	31.692	26.310	
326.433020830000	122.923	57.552	31.775	25.777	
326.439965280000	123.395	57.908	31.677	26.232	
326.446909720000	122.820	58.253	32.035	26.218	
326.453854170000	122.522	57.208	31.457	25.752	
326.460798610000	123.145	57.588	31.545	26.043	
326.467743060000	122.565	57.382	31.303	26.078	
326.474687500000	122.675	57.873	31.522	26.352	
326.481631940000	122.762	57.922	31.575	26.347	
326.488576390000	123.120	57.723	31.512	26.212	
326.495520830000	124.073	56.460	31.170	25.290	
326.502465280000	82.170	37.452	20.765	16.687	
326.509409720000	123.618	58.365	31.905	26.460	
326.516354170000	123.507	58.170	31.742	26.428	
326.523298610000	123.990	58.172	32.107	26.065	
326.530243060000	123.935	57.952	31.722	26.230	
326.537187500000	122.757	57.633	31.173	26.460	
326.544131940000	123.500	57.842	31.813	26.028	
326.551076390000	124.385	57.978	31.900	26.078	
326.558020830000	123.357	57.247	31.185	26.062	
326.564965280000	123.872	56.830	31.332	25.498	
326.571909720000	124.265	56.832	31.008	25.823	
326.578854170000	125.412	57.538	31.433	26.105	
326.585798610000	124.398	57.405	31.673	25.732	
326.592743060000	124.017	57.438	31.473	25.965	
326.599687500000	124.818	58.508	32.033	26.475	
326.606631940000	123.738	57.650	31.795	25.855	
326.613576390000	124.167	57.975	31.655	26.320	
326.620520830000	124.020	57.687	31.650	26.037	
326.627465280000	81.788	37.788	20.537	17.252	
326.634409720000	124.367	57.817	31.870	25.947	
326.641354170000	123.785	57.685	31.583	26.102	
326.648298610000	124.480	58.348	32.162	26.187	
326.655243060000	123.728	57.658	31.572	26.087	
326.662187500000	123.308	58.078	31.665	26.413	
326.669131940000	123.203	57.902	31.958	25.943	
326.676076390000	123.268	58.382	31.892	26.490	
326.683020830000	123.675	58.288	31.977	26.312	
326.689965280000	123.707	57.617	31.610	26.007	
326.696909720000	125.070	58.262	32.013	26.248	
326.703854170000	123.175	58.065	31.562	26.503	
326.710798610000	123.187	58.708	32.075	26.633	
326.717743060000	122.970	58.255	31.672	26.583	
326.724687500000	124.302	58.560	32.020	26.540	
326.731631940000	123.947	58.465	31.948	26.517	
326.738576390000	122.402	58.902	32.152	26.750	
326.745520830000	123.335	59.203	32.323	26.880	
326.752465280000	79.987	38.718	21.122	17.597	
326.759409720000	122.918	57.942	31.867	26.075	
326.766354170000	124.218	58.550	32.127	26.423	
326.773298610000	123.585	58.850	32.072	26.778	
326.780243060000	122.995	59.113	32.277	26.837	
326.787187500000	123.008	58.415	31.585	26.830	
326.794131940000	124.550	58.798	32.080	26.718	
326.801076390000	123.450	57.205	31.120	26.085	
326.808020830000	123.135	57.572	31.225	26.347	
326.814965280000	123.572	58.497	32.140	26.357	
326.821909720000	122.795	57.547	31.540	26.007	
326.828854170000	123.525	57.773	31.520	26.253	
326.835798610000	123.657	57.692	31.370	26.322	
326.842743060000	123.812	57.402	31.497	25.905	
326.849687500000	123.312	57.552	31.308	26.243	
326.856631940000	123.543	57.875	31.928	25.947	
326.863576390000	123.783	57.127	31.018	26.108	
326.870520830000	122.767	57.545	31.540	26.005	
326.877465280000	80.173	37.548	20.587	16.962	
326.884409720000	123.385	58.037	31.697	26.340	
326.891354170000	123.860	57.748	31.660	26.088	
326.898298610000	123.830	57.195	31.152	26.043	
326.905243060000	122.470	56.645	31.145	25.500	
326.912187500000	122.548	57.647	31.697	25.950	
326.919131940000	123.063	57.765	31.732	26.033	
326.926076390000	122.532	57.782	31.410	26.372	
326.933020830000	123.592	57.892	31.885	26.007	
326.939965280000	123.097	57.218	31.257	25.962	
326.946909720000	122.978	57.503	31.512	25.992	
326.953854170000	123.083	57.040	30.968	26.072	
326.960798610000	123.060	57.297	31.442	25.855	
326.967743060000	122.410	57.658	31.315	26.343	
326.974687500000	123.102	57.232	31.337	25.895	
326.981631940000	123.660	57.648	31.643	26.005	
326.988576390000	122.685	56.647	31.003	25.643	
326.995520830000	123.220	56.793	30.945	25.848	
327.002465280000	81.380	37.802	20.823	16.978	
327.009409720000	122.925	57.522	31.518	26.003	
327.016354170000	122.325	57.355	31.592	25.763	
327.023298610000	123.805	58.197	32.065	26.132	
